URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_DATE_DIFF,DNS_QUERY_TIMES,Type
16,7,iso-8859-1,nginx,263,Unknown,Unknown,-1,2,1
16,6,UTF-8,Apache/2.4.10,15087,Unknown,Unknown,-1,0,-1
16,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,-1,0,-1
17,6,ISO-8859-1,nginx,162,US,AK,5818,8,-1
17,6,UTF-8,Unknown,124140,US,TX,7639,4,-1
18,7,UTF-8,nginx,-1,SC,Mahe,60,0,-1
18,6,iso-8859-1,Apache/2,345,US,CO,5086,2,-1
19,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,FL,7306,0,-1
20,5,utf-8,nginx/1.10.1,-1,Unknown,Unknown,-1,2,1
20,5,utf-8,nginx/1.10.1,-1,Unknown,Unknown,-1,2,1
20,6,utf-8,Apache,-1,US,Kansas,2917,0,-1
20,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,1,0,-1
20,7,utf-8,Unknown,13716,GB,Unknown,5109,4,-1
20,6,ISO-8859-1,nginx,3692,Unknown,Unknown,4539,10,-1
20,7,ISO-8859-1,Apache/2.2.15 (Red Hat),13054,Unknown,Unknown,-1,0,-1
21,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,957,UK,Unknown,5466,4,1
21,7,iso-8859-1,nginx,686,RU,Novosibirskaya obl.,1094,2,1
21,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,5664,0,-1
21,6,utf-8,nginx,15025,Unknown,Unknown,-1,2,-1
22,7,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,1259,2,1
22,6,utf-8,openresty/1.11.2.1,-1,US,CA,5879,4,-1
22,6,iso-8859-1,nginx,318,US,Tennessee,4257,0,-1
22,6,iso-8859-1,Apache/2.2.22,224,Unknown,Unknown,2891,0,-1
22,7,utf-8,Apache/2.4.7 (Ubuntu),4421,AU,Vi,2551,4,-1
22,6,UTF-8,nginx/1.12.0,-1,US,FL,4982,4,-1
22,6,ISO-8859-1,Apache,441,US,OR,4431,0,-1
22,6,ISO-8859-1,nginx/1.12.0,-1,US,Texas,4018,0,-1
22,6,utf-8,nginx,6671,CA,ALBERTA,5902,0,-1
23,6,utf-8,Apache,-1,US,FL,3274,2,-1
