URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,DNS_QUERY_TIMES,Type
16,7,iso-8859-1,nginx,263,Unknown,Unknown,10/10/2015 18:21,Unknown,2,1
16,6,UTF-8,Apache/2.4.10,15087,Unknown,Unknown,Unknown,Unknown,0,-1
16,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,Unknown,Unknown,0,-1
17,6,ISO-8859-1,nginx,162,US,AK,7/10/1997 4:00,12/09/2013 0:45,8,-1
17,6,UTF-8,Unknown,124140,US,TX,12/05/1996 0:00,11/04/2017 0:00,4,-1
18,7,UTF-8,nginx,-1,SC,Mahe,3/08/2016 14:30,3/10/2016 3:45,0,-1
18,6,iso-8859-1,Apache/2,345,US,CO,29/07/2002 0:00,1/07/2016 0:00,2,-1
19,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,FL,18/03/1997 0:00,19/03/2017 0:00,0,-1
20,5,utf-8,nginx/1.10.1,-1,Unknown,Unknown,8/11/2014 7:41,Unknown,2,1
20,5,utf-8,nginx/1.10.1,-1,Unknown,Unknown,8/11/2014 7:41,Unknown,2,1
20,6,utf-8,Apache,-1,US,Kansas,14/09/2007 0:00,9/09/2015 0:00,0,-1
20,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,22/11/2016 0:00,23/11/2016 0:00,0,-1
20,7,utf-8,Unknown,13716,GB,Unknown,11/10/2002 0:00,6/10/2016 0:00,4,-1
20,6,ISO-8859-1,nginx,3692,Unknown,Unknown,14/11/2002 0:00,19/04/2015 0:00,10,-1
20,7,ISO-8859-1,Apache/2.2.15 (Red Hat),13054,Unknown,Unknown,Unknown,Unknown,0,-1
21,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,957,UK,Unknown,16/07/2000 0:00,4/07/2015 0:00,4,1
21,7,iso-8859-1,nginx,686,RU,Novosibirskaya obl.,25/05/2013 0:00,23/05/2016 0:00,2,1
21,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,9/08/1999 0:00,10/02/2015 0:00,0,-1
21,6,utf-8,nginx,15025,Unknown,Unknown,Unknown,Unknown,2,-1
22,7,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,15/09/2013 0:00,25/02/2017 0:00,2,1
22,6,utf-8,openresty/1.11.2.1,-1,US,CA,3/07/1999 0:00,7/08/2015 0:00,4,-1
22,6,iso-8859-1,nginx,318,US,Tennessee,2/11/2003 0:00,29/06/2015 0:00,0,-1
22,6,iso-8859-1,Apache/2.2.22,224,Unknown,Unknown,12/08/2008 22:10,13/07/2016 17:36,0,-1
22,7,utf-8,Apache/2.4.7 (Ubuntu),4421,AU,Vi,21/05/2009 0:00,15/05/2016 0:00,4,-1
22,6,UTF-8,nginx/1.12.0,-1,US,FL,1/08/2002 0:00,22/03/2016 0:00,4,-1
22,6,ISO-8859-1,Apache,441,US,OR,13/01/2005 0:00,2/03/2017 0:00,0,-1
22,6,ISO-8859-1,nginx/1.12.0,-1,US,Texas,18/05/2005 19:41,19/05/2016 10:14,0,-1
22,6,utf-8,nginx,6671,CA,ALBERTA,4/01/2001 0:00,3/03/2017 0:00,0,-1
23,6,utf-8,Apache,-1,US,FL,28/02/2008 10:58,14/02/2017 20:27,2,-1
23,6,iso-8859-1,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,434,PA,PANAMA,8/12/2006 0:00,14/12/2015 0:00,0,-1
23,6,us-ascii,Microsoft-HTTPAPI/2.0,324,se,Unknown,16/06/2000 0:00,18/05/2016 0:00,0,-1
23,6,utf-8,nginx,13001,Unknown,Unknown,Unknown,Unknown,0,-1
23,7,ISO-8859-1,Oracle-iPlanet-Web-Server/7.0,3257,Unknown,Unknown,13/10/2000 0:00,27/04/2017 0:00,0,-1
23,6,ISO-8859-1,Unknown,6748,US,Arizona,31/12/1999 0:00,9/04/2017 0:00,0,-1
23,7,UTF-8,nginx,-1,Unknown,Unknown,Unknown,Unknown,0,-1
23,6,Unknown,Unknown,-1,US,TX,30/07/1996 0:00,4/07/2016 0:00,4,-1
23,6,UTF-8,Unknown,-1,GB,Unknown,9/05/2008 0:00,27/11/2015 0:00,4,-1
23,6,UTF-8,Unknown,-1,US,WI,23/04/1999 0:00,25/07/2016 0:00,4,-1
23,6,UTF-8,cloudflare-nginx,-1,US,Oregon,4/02/1997 0:00,8/11/2014 0:00,4,-1
23,6,ISO-8859-1,nginx/1.12.0,-1,IN,Andhra Pradesh,13/02/2003 0:00,14/02/2017 0:00,4,-1
23,6,iso-8859-1,Apache,240,US,CA,17/05/2008 0:00,18/05/2016 0:00,2,-1
23,6,ISO-8859-1,Apache,3985,CA,AB,30/05/2002 0:00,31/05/2016 0:00,6,-1
23,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,20/10/2005 0:00,30/09/2016 0:00,0,-1
24,8,ISO-8859-1,nginx/1.6.2,6173,Unknown,Unknown,Unknown,Unknown,0,1
24,9,iso-8859-1,Apache,319,IN,Tamil Nadu,Unknown,Unknown,2,1
24,6,utf-8,openresty,-1,LU,Unknown,7/01/2006 0:00,14/12/2016 0:00,12,-1
24,6,ISO-8859-1,Unknown,34,US,VA,5/03/1996 5:00,27/05/2016 14:46,4,-1
24,7,utf-8,nginx,-1,US,NY,23/03/1995 0:00,3/03/2017 0:00,4,-1
24,6,utf-8,Heptu web server,1778,Unknown,Unknown,10/01/1998 0:00,11/11/2012 0:00,0,-1
24,6,utf-8,Pepyaka/1.11.3,-1,Unknown,Unknown,27/04/2016 0:00,29/04/2017 0:00,0,-1
24,6,us-ascii,Microsoft-HTTPAPI/2.0,324,CA,quebec,7/04/2011 0:00,8/04/2017 0:00,0,-1
24,8,iso-8859-1,Apache/2.2.22,224,US,MA,26/02/2009 0:00,6/01/2017 0:00,4,-1
24,6,utf-8,nginx/1.8.0,-1,CA,ON,3/07/2002 0:00,2/07/2016 0:00,4,-1
24,7,iso-8859-1,Apache,318,Unknown,Unknown,Unknown,Unknown,4,-1
24,7,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,-1,Unknown,Unknown,21/02/1995 0:00,19/02/2017 0:00,6,-1
24,6,iso-8859-1,Apache/2,345,US,New Mexico,4/07/2007 0:00,5/07/2016 0:00,2,-1
24,6,UTF-8,Apache,756,PA,PANAMA,2/07/1998 0:00,6/02/2017 0:00,4,-1
25,6,utf-8,Apache/2.2.29 (Amazon),-1,CA,British Columbia,10/03/2005 0:00,4/01/2017 0:00,0,-1
25,7,utf-8,nginx,-1,US,NY,23/03/1995 0:00,3/03/2017 0:00,0,-1
25,6,UTF-8,nginx,14839,US,NY,15/12/2004 0:00,13/11/2016 0:00,0,-1
25,6,us-ascii,Microsoft-IIS/7.5,324,US,Massachusetts,25/02/2008 0:00,26/02/2017 0:00,0,-1
25,6,UTF-8,LiteSpeed,-1,Unknown,Unknown,27/01/2005 0:00,15/11/2013 0:00,0,-1
25,6,UTF-8,Apache,-1,US,California,14/09/2006 0:00,9/09/2016 0:00,4,-1
25,6,UTF-8,nginx,658,Unknown,Unknown,Unknown,Unknown,4,-1
25,6,UTF-8,Unknown,-1,TH,bangkok,30/04/2010 14:12,12/03/2017 1:47,4,-1
25,6,ISO-8859-1,Apache,-1,US,CA,22/04/1997 0:00,22/02/2017 0:00,6,-1
